Number of files metrics,Sat, 15 May 2021 14:50:20 EEST
Module,FILES,Groovy,HTML,J,KT,XML
"RecyclerView.SelectableRecyclerView",0,0,0,1,0,0

FileType,FILES
"Java",1

Project,FILES,Groovy,HTML,J,KT,XML
"project",1,0,0,1,0,0

