Class count metrics,Sat, 15 May 2021 14:46:20 EEST
Package,C,C(rec),Cp,Cp(rec),Ct,TC(rec)
"",n/a,1,n/a,1,n/a,0
"dagkalis",n/a,1,n/a,1,n/a,0
"dagkalis.georgios",n/a,1,n/a,1,n/a,0
"dagkalis.georgios.selectablerecyclerview",1,1,1,1,0,0

Module,C,Cp,Ct
"RecyclerView.SelectableRecyclerView",1,1,0

Project,C,Cp,Ct
"project",1,1,0

